figure_id,year,age_class,thlb_ha,nclb_ha,total_ha
Figure 6,2023,0-20,27818.18181818182,3566.4335664335667,31384.615384615387
Figure 6,2023,21-40,30909.090909090908,6895.104895104898,37804.195804195806
Figure 6,2023,41-60,28055.944055944055,9748.25174825175,37804.195804195806
Figure 6,2023,61-80,9986.013986013986,5468.531468531468,15454.545454545454
Figure 6,2023,81-100,2615.3846153846157,3328.671328671328,5944.055944055944
Figure 6,2023,101-120,1188.811188811189,1902.097902097902,3090.909090909091
Figure 6,2023,121-140,951.048951048951,1426.5734265734268,2377.622377622378
Figure 6,2023,141-250,6419.580419580419,13790.209790209788,20209.790209790208
Figure 6,2023,251+,8797.202797202797,20447.552447552447,29244.755244755244
Figure 6,2073,0-20,34580.204778157,464.1638225255956,35044.368600682596
Figure 6,2073,21-40,34580.204778157,464.1638225255956,35044.368600682596
Figure 6,2073,41-60,26457.337883959044,1392.4914675767905,27849.829351535835
Figure 6,2073,61-80,22279.86348122867,4409.556313993173,26689.419795221842
Figure 6,2073,81-100,9051.194539249147,8819.11262798635,17870.307167235496
Figure 6,2073,101-120,3017.0648464163824,7658.703071672355,10675.767918088737
Figure 6,2073,121-140,0.0,5105.802047781571,5105.802047781571
Figure 6,2073,141-250,2088.7372013651875,6034.129692832765,8122.866894197952
Figure 6,2073,251+,3249.146757679181,31331.05802047782,34580.204778157
Figure 6,2123,0-20,30801.393728222996,473.86759581881415,31275.26132404181
Figure 6,2123,21-40,27958.188153310104,473.8675958188178,28432.055749128922
Figure 6,2123,41-60,28905.923344947736,473.86759581881415,29379.79094076655
Figure 6,2123,61-80,17533.101045296167,473.86759581881415,18006.96864111498
Figure 6,2123,81-100,3317.0731707317073,473.8675958188155,3790.9407665505228
Figure 6,2123,101-120,4264.808362369338,3317.0731707317073,7581.8815331010455
Figure 6,2123,121-140,2132.404181184669,6634.1463414634145,8766.550522648084
Figure 6,2123,141-250,1895.4703832752614,21324.04181184669,23219.51219512195
Figure 6,2123,251+,1421.602787456446,32459.930313588848,33881.533101045294
Figure 6,2173,0-20,30090.592334494773,473.8675958188178,30564.45993031359
Figure 6,2173,21-40,29853.658536585364,710.8013937282267,30564.45993031359
Figure 6,2173,41-60,28195.12195121951,473.8675958188178,28668.989547038327
Figure 6,2173,61-80,18480.836236933796,0.0,18480.836236933796
Figure 6,2173,81-100,3790.9407665505228,473.8675958188155,4264.808362369338
Figure 6,2173,101-120,947.7351916376307,710.8013937282229,1658.5365853658536
Figure 6,2173,121-140,947.7351916376307,473.8675958188154,1421.602787456446
Figure 6,2173,141-250,5686.411149825784,28195.12195121951,33881.533101045294
Figure 6,2173,251+,1421.602787456446,35066.202090592335,36487.80487804878
Figure 6,2223,0-20,30801.393728222996,473.86759581881415,31275.26132404181
Figure 6,2223,21-40,29142.85714285714,473.86759581881415,29616.724738675955
Figure 6,2223,41-60,27247.38675958188,473.86759581881415,27721.254355400695
Figure 6,2223,61-80,18243.90243902439,473.8675958188178,18717.770034843208
Figure 6,2223,81-100,3554.0069686411152,710.801393728223,4264.808362369338
Figure 6,2223,101-120,1658.5365853658536,236.93379790940776,1895.4703832752614
Figure 6,2223,121-140,1184.6689895470383,473.8675958188153,1658.5365853658536
Figure 6,2223,141-250,5686.411149825784,16348.43205574913,22034.843205574914
Figure 6,2223,251+,1421.602787456446,46912.89198606272,48334.49477351917
Figure 6,2273,0-20,31275.26132404181,473.8675958188178,31749.12891986063
Figure 6,2273,21-40,31275.26132404181,473.8675958188178,31749.12891986063
Figure 6,2273,41-60,28668.989547038327,710.801393728223,29379.79094076655
Figure 6,2273,61-80,16585.365853658535,473.8675958188178,17059.233449477353
Figure 6,2273,81-100,3080.1393728222997,236.93379790940753,3317.0731707317073
Figure 6,2273,101-120,1895.4703832752614,473.8675958188153,2369.3379790940767
Figure 6,2273,121-140,1184.6689895470383,710.801393728223,1895.4703832752614
Figure 6,2273,141-250,2606.271777003484,2843.2055749128913,5449.4773519163755
Figure 6,2273,251+,4738.675958188153,59944.250871080134,64682.92682926829
Figure 45,2023,0-20,29070.631970260223,3539.0334572490683,32609.66542750929
Figure 45,2023,21-40,32356.877323420074,7078.06691449814,39434.944237918215
Figure 45,2023,41-60,29323.420074349444,10111.52416356877,39434.944237918215
Figure 45,2023,61-80,10869.888475836431,5814.126394052046,16684.014869888477
Figure 45,2023,81-100,3286.2453531598517,3286.2453531598517,6572.490706319703
Figure 45,2023,101-120,2022.3048327137546,1769.5167286245353,3791.82156133829
Figure 45,2023,121-140,1769.5167286245353,1263.9405204460966,3033.457249070632
Figure 45,2023,141-250,7330.855018587361,14156.133828996284,21486.988847583645
Figure 45,2023,251+,9605.947955390335,20981.412639405207,30587.36059479554
Figure 45,2073,0-20,35120.87912087912,498.1684981684957,35619.04761904762
Figure 45,2073,21-40,34871.79487179487,747.2527472527509,35619.04761904762
Figure 45,2073,41-60,27897.435897435895,1494.505494505498,29391.941391941393
Figure 45,2073,61-80,22666.666666666664,4732.600732600735,27399.2673992674
Figure 45,2073,81-100,9465.201465201466,8967.032967032967,18432.234432234432
Figure 45,2073,101-120,2490.842490842491,8219.78021978022,10710.62271062271
Figure 45,2073,121-140,1494.5054945054947,3736.263736263737,5230.769230769231
Figure 45,2073,141-250,2241.7582417582416,6227.106227106227,8468.864468864469
Figure 45,2073,251+,3238.095238095238,32630.03663003663,35868.131868131866
Figure 45,2123,0-20,33128.205128205125,498.168498168503,33626.37362637363
Figure 45,2123,21-40,33128.205128205125,498.168498168503,33626.37362637363
Figure 45,2123,41-60,31384.615384615387,498.1684981684957,31882.783882783882
Figure 45,2123,61-80,17435.897435897434,498.16849816849935,17934.065934065933
Figure 45,2123,81-100,6227.1062271062265,498.16849816849845,6725.274725274725
Figure 45,2123,101-120,4483.516483516483,3238.0952380952385,7721.611721611722
Figure 45,2123,121-140,2739.92673992674,6725.274725274726,9465.201465201466
Figure 45,2123,141-250,2739.92673992674,21421.24542124542,24161.172161172162
Figure 45,2123,251+,2739.92673992674,33128.205128205125,35868.131868131866
Figure 45,2173,0-20,32630.03663003663,498.1684981684957,33128.205128205125
Figure 45,2173,21-40,32380.952380952378,747.2527472527472,33128.205128205125
Figure 45,2173,41-60,29391.941391941393,249.08424908424786,29641.02564102564
Figure 45,2173,61-80,19677.65567765568,498.1684981684957,20175.824175824175
Figure 45,2173,81-100,4732.600732600733,498.16849816849845,5230.769230769231
Figure 45,2173,101-120,2241.7582417582416,747.2527472527477,2989.0109890109893
Figure 45,2173,121-140,1992.6739926739926,498.1684981684982,2490.842490842491
Figure 45,2173,141-250,4981.684981684982,28146.520146520143,33128.205128205125
Figure 45,2173,251+,2989.0109890109893,35369.96336996337,38358.97435897436
Figure 45,2223,0-20,32356.877323420074,505.5762081784378,32862.45353159851
Figure 45,2223,21-40,32356.877323420074,505.5762081784378,32862.45353159851
Figure 45,2223,41-60,29323.420074349444,505.5762081784378,29828.99628252788
Figure 45,2223,61-80,19717.472118959107,252.78810408922072,19970.260223048328
Figure 45,2223,81-100,4802.973977695167,505.5762081784387,5308.550185873606
Figure 45,2223,101-120,1011.1524163568773,505.5762081784386,1516.728624535316
Figure 45,2223,121-140,505.57620817843866,505.57620817843866,1011.1524163568773
Figure 45,2223,141-250,2527.8810408921936,16684.014869888477,19211.89591078067
Figure 45,2223,251+,1769.5167286245353,47776.95167286246,49546.46840148699
Figure 45,2273,0-20,32356.877323420074,252.7881040892171,32609.66542750929
Figure 45,2273,21-40,32356.877323420074,252.7881040892171,32609.66542750929
Figure 45,2273,41-60,29323.420074349444,505.5762081784378,29828.99628252788
Figure 45,2273,61-80,20223.04832713755,505.5762081784342,20728.624535315983
Figure 45,2273,81-100,4044.6096654275093,505.57620817843826,4550.185873605948
Figure 45,2273,101-120,1263.9405204460968,758.3643122676579,2022.3048327137546
Figure 45,2273,121-140,758.364312267658,505.57620817843883,1263.9405204460968
Figure 45,2273,141-250,758.364312267658,3286.245353159851,4044.6096654275093
Figure 45,2273,251+,3033.457249070632,61427.5092936803,64460.96654275093
