evidence_id,evidence_family,evidence_role,source_anchor,source_detail,extracted_clue,public_proxy_use,queryable_or_local_artifact,p14_decision,p14_followup,caveat
mp11_lbb_private_operability_source,physical_operability,unavailable_private_source,PDF p257 / IP p11; PDF p265-267 / IP p19-21; PDF p297 / IP p51,"MP11 says ground, cable, and helicopter harvest methods come from WFP's spatial LBB physical-operability dataset.","LBB uses LiDAR bare-earth hillshade, canopy height model, slope, streams, professional block/road planning, and post-harvest updates.",Do not use as a queryable source; record as private benchmark context.,No public FEMIC-readable LBB layer identified.,unavailable_private_source,Build public proxy assignments and label them as non-equivalent to WFP LBB.,Aggregate MP11 LBB summaries cannot be reverse-engineered into stand truth.
mp11_physical_operability_classes,physical_operability,classification_target,PDF p297-298 / IP p51-52,MP11 Section 6.8 and Tables 18-20.,"MP11 physical classes are conventional, non-conventional, and inoperable; only inoperable is removed from THLB.",Use class vocabulary and inoperable/non-conventional distinction.,planning/tfl6_mp11_inventory_yield_operability_crosswalk.md,adopt_vocabulary_not_geometry,"Map public proxy rows to ground, cable, heli, not_applicable, or review-required.",MP11 class vocabulary is public; the LBB polygons are not.
mp11_table20_thlb_area_distribution,comparison_target,aggregate_target,PDF p298 / IP p52,MP11 Table 20.,"THLB area distribution is 57.3% ground, 39.6% cable, 3.1% non-conventional.",Use as aggregate QA target only.,planning/tfl6_mp11_inventory_yield_operability_crosswalk.md,comparison_target_only,Report assigned-area residuals after public proxy classification.,Do not force individual stands to match percentages without public evidence.
mp11_table73_area_volume_distribution,comparison_target,aggregate_target,PDF p405 / IP p159,MP11 Table 73.,"Current THLB is 68,845 ha and 19,216,294 m3 ground; 47,524 ha and 14,563,331 m3 cable; 3,730 ha and 2,223,221 m3 non-conventional.",Use as area and volume QA target.,planning/tfl6_mp11_phase14_harvest_system_operability_plan.md,comparison_target_only,Compare proxy area and candidate inventory volume by harvest system.,Candidate THLB is larger than MP11; residuals must be area-normalized.
mp11_helicopter_economic_thresholds_near,economic_operability,explicit_rule_candidate,PDF p311-312 / IP p65-66,MP11 Table 27.,For age >80 years and 0-499 m flight distance: minimum 350 m3/ha and minimum 15% Cw+Fd+Yc.,"Use if age, volume, species share, and flight/access proxy exist.",data/mp11_model_input_bundle/input_geometry/aflb_current.feather,candidate_rule_after_metric_build,"P14.3 must build species-share, volume, age, and access-distance proxy fields.",Flight distance is not yet a reviewed public metric.
mp11_helicopter_economic_thresholds_mid,economic_operability,explicit_rule_candidate,PDF p311-312 / IP p65-66,MP11 Table 27.,For age >80 years and 500-999 m flight distance: minimum 370 m3/ha and minimum 25% Cw+Fd+Yc.,"Use if age, volume, species share, and flight/access proxy exist.",data/mp11_model_input_bundle/input_geometry/aflb_current.feather,candidate_rule_after_metric_build,"P14.3 must build species-share, volume, age, and access-distance proxy fields.",Flight distance is not yet a reviewed public metric.
mp11_helicopter_economic_thresholds_far,economic_operability,explicit_rule_candidate,PDF p311-312 / IP p65-66,MP11 Table 27.,For age >80 years and 1000+ m flight distance: minimum 400 m3/ha and minimum 30% Cw+Fd+Yc.,"Use if age, volume, species share, and flight/access proxy exist.",data/mp11_model_input_bundle/input_geometry/aflb_current.feather,candidate_rule_after_metric_build,"P14.3 must build species-share, volume, age, and access-distance proxy fields.",Flight distance is not yet a reviewed public metric.
mp11_conventional_economic_assumption,economic_operability,rule_boundary,PDF p311-312 / IP p65-66,MP11 Section 6.13 and Tables 28-29.,MP11 assumes all conventionally operable areas become economically viable at some market point; only 20 ha of non-conventional uneconomic area are netted from THLB.,Do not add a broad conventional uneconomic exclusion in Phase 14.,planning/tfl6_mp11_inventory_yield_operability_crosswalk.md,boundary_condition,Limit economic-operability rule work to heli/non-conventional sensitivity.,Conventional economics are not a public cost model.
mp11_no_current_system_dbh_mha,rule_rejection,do_not_use,PDF p400 / IP p154,MP11 Section 10.4.1.,MP11 replaces prior ground/cable/helicopter DBH thresholds with 95% CMAI plus 350 m3/ha minimum volume.,Do not use MP10 30/37/42 cm DBH rules as current MP11 criteria.,planning/tfl6_mp11_phase14_harvest_system_operability_plan.md,reject_as_current_mp11_rule,Keep MHA implementation separate from harvest-system classifier.,Historical DBH thresholds can be context only.
mp10_slope_30_ground_cable_context,historical_context,proxy_clue,planning/tfl6_operability_netdown_proxy.md,MP10 evidence summarized from local extracted text.,MP10 assigned conventionally operable 0-30% slopes to ground-based systems and steeper conventional slopes to cable.,"Use as a candidate proxy threshold to test, not as MP11 truth.",planning/tfl6_operability_netdown_proxy.md,candidate_proxy_clue,P14.3 should compute slope-threshold sensitivity metrics including 30%.,MP11 says ground and cable may be used together within operating areas.
p9d_public_cded_slope_stats,public_proxy_input,slope_metric,planning/tfl6_mp11_p9d_public_dem_slope_zonal_stats.md,P9D public DEM percent-slope zonal statistics.,CDED-derived slope stats exist for Step 210 active P9RF fragments with 60/70/80/90% thresholds.,Use as coarse public slope evidence for first classifier pass.,planning/tfl6_mp11_p9d_public_dem_slope_zonal_stats.csv,accepted_public_proxy_input,P14.3 must join or aggregate slope metrics onto candidate stands.,CDED is coarse and not WFP LiDAR slope.
p9d_step220_steep_slope_rule,public_proxy_input,slope_rule_context,planning/tfl6_mp11_p9d_step220_dem_slope_scenarios.md,P9D selected Step 220 steep-slope public proxy.,"Best whole-fragment candidate was slope_ge_70_prop_ge_0.75, deducting 1,801.705 ha against MP11 target 1,820 ha.",Use as high-steepness context for inoperable/high-cost flags.,planning/tfl6_mp11_p9d_step220_dem_slope_scenarios.csv,accepted_public_proxy_context,Do not double-count Step 220 removed fragments as heli candidates.,"This is a netdown proxy, not a yarding-system rule."
p9e_public_tsm_class_v,public_proxy_input,terrain_stability_context,planning/tfl6_mp11_p9e_step210_tsm_scenarios.md,P9E public TSM Class V proxy for MP11 Step 210.,"Strict public TSM Class V source exists but deducts far less area than MP11, leaving a WFP DTSM/LiDAR semantic gap.","Use as terrain-stability caveat/context, not direct harvest-system class.",planning/tfl6_mp11_p9e_step210_tsm_scenarios.csv,context_only_public_proxy,Carry terrain-stability status into classifier confidence/caveat fields.,Low coverage prevents treating TSM as WFP terrain model equivalent.
phase9_vri_inventory_metrics,public_proxy_input,inventory_metric,planning/tfl6_mp11_phase9_input_proxy_profile.md,P9.3 inventory and proxy field profile.,"R1/VRI contains candidate low-height, low-volume, hembal-height3, age, species, volume, and stand-attribute fields.","Use for volume/ha, age, height, and species-share classifier metrics.",data/mp11_model_input_bundle/input_geometry/aflb_current.feather,accepted_public_proxy_input,P14.3 must build Cw+Fd+Yc share and volume/age fields from candidate geometry.,Inventory fields are public proxies and may not match WFP LiDAR/ITI values.
phase9_dra_roads,public_proxy_input,access_metric_candidate,planning/tfl6_mp11_phase9_source_layer_manifest.md,P9.2 source-layer manifest.,"DRA roads for TFL 6 are present and readable: 10,706 features, 4,255.863 km.",Candidate access-distance input for heli economic proxy.,data/source/tfl_6/roads,candidate_metric_after_review,P14.3 should compute a distance-to-road/access proxy only after source path review.,Road distance is not the same as MP11 helicopter flight distance.
phase9_wfp_lbb_iti_lefi_manifest_gap,private_gap,do_not_materialize,planning/tfl6_mp11_phase9_source_layer_manifest.md,P9.2 source-layer manifest private dependency row.,"WFP LBB, ITI, and LEFI are marked unavailable_non_public.",Use only as a documented gap.,none,private_gap,Keep private dependency gap visible in classifier QA and docs.,Do not invent or publish proprietary source values.
